NHSD_Code,Display,Definition,SNOMED-CT-AU_Expression,Mapping_rating,Comments,Submit for inclusion into SNOMED-CT-AU?
1342,Health and Welfare Service Managers,Health and Welfare Service Managers,224579007,2,mapped to 224579007 |Healthcare service manager (occupation)| as NHSD children do not contain welfare managers,
  1342-11,Medical Administrator (Aus) / Medical Superintendent (NZ),Medical Administrator (Aus) / Medical Superintendent (NZ),,5,,Y
    1342-11-2,Director of Medical Services,Director of Medical Services,,5,,Y
  1342-12,Nursing Clinical Director,Nursing Clinical Director,,5,,Y
    1342-12.4,Director of Nursing,Director of Nursing,,5,,Y
2349,Other Natural and Physical Science Professionals,Other Natural and Physical Science Professionals,308027003,3,"abstract term, so no need to explicitly map?",
  2349-99,Natural and Physical Science Professionals nec,Natural and Physical Science Professionals nec,308027003,3,Snomed rejects nec's!,
    2349-99-2,Exercise Physiologist,Exercise Physiologist,,5,Has previously been submitted for inclusion to  SNOMED-CT-AU,
2500,Health Professionals,Health Professionals,223366009,2,,
  2500-00,Health Professionals nfd (Australian use only),Health Professionals nfd (Australian use only),223366009,2,,
    2500-00-0,Health Professionals nfd,Health Professionals nfd,223366009,2,,
2511,Dietitians,Dietitians,159033005,2,,
  2511-11,Dietitian,Dietitian,159033005,1,,
    2511-11-0,Dietitian,Dietitian,159033005,1,,
  2511.12,Nutritionist,Nutritionist,,5,would be child of 159033005 |Dietitian (occupation)| as 60008001 |Public health nutritionist (occupation)| currently is,Y
    2511.12.0,Nutritionist,Nutritionist,,5,would be child of 159033005 |Dietitian (occupation)| as 60008001 |Public health nutritionist (occupation)| currently is,Y
2512,Medical Imaging Professionals,Medical Imaging Professionals,,5,,
  2512-11,Medical Diagnostic Radiographer,Medical Diagnostic Radiographer,159016003,2,,
    2512-11.0,Medical Diagnostic Radiographer,Medical Diagnostic Radiographer,159016003,2,,
  2512-12,Medical Radiation Therapist,Medical Radiation Therapist,,5,not the same as 3430008 |Radiation therapist (occupation)|.  3430008 refers to medical specialists. This role is one undertaken by radiographers not doctors,Y
    2512-12-0,Medical Radiation Therapist,Medical Radiation Therapist,,5,not the same as 3430008 |Radiation therapist (occupation)|.  3430008 refers to medical specialists. This role is one undertaken by radiographers not doctors,Y
  2512-13,Nuclear Medicine Technologist,Nuclear Medicine Technologist,,5,,Y
    2512-13-0,Nuclear Medicine Technologist,Nuclear Medicine Technologist,,5,,Y
  2512-14,Sonographer,Sonographer,,5,Has previously been submitted for inclusion to  SNOMED-CT-AU,
    2512-14-0,Sonographer,Sonographer,,5,Has previously been submitted for inclusion to  SNOMED-CT-AU,
2514,Optometrists and Orthoptists,Optometrists and Orthoptists,106295001 ,2,,
  2514-11,Optometrist,Optometrist,28229004,1,,
    2514-11-0,Optometrist,Optometrist,28229004,1,,
  2514-12,Orthoptist,Orthoptist,159027001,1,,
    2514-12-0,Orthoptist,Orthoptist,159027001,1,,
2515,Pharmacists,Pharmacists,46255001,2,,
  2515-13,Retail/ Community Pharmacist,Retail/ Community Pharmacist,159011008,2,,
    2515-13-1,Retail/Community Pharmacist,Retail/Community Pharmacist,159011008,2,,
    2515-13-2,Consultant Pharmacist,Consultant Pharmacist,159011008,3,,
2519,Other Health Diagnostic and Promotion Professionals,Other Health Diagnostic and Promotion Professionals,308027003,3,"abstract term, so no need to explicitly map?",
  2519-11,Health Promotion Officer/Community Health Worker/Health Educator,Health Promotion Officer/Community Health Worker/Health Educator,409974004,2,,
    2519-11-3,Diabetes Educator,Diabetes Educator,,5,Has previously been submitted for inclusion to  SNOMED-CT-AU,
  2519-12,Orthotist or Prosthetist,Orthotist or Prosthetist,309428008,4,Have asked the professional body ,
    2519-12-0,Orthotist or Prosthetist,Orthotist or Prosthetist,309428008,4,,
2521,Chiropractors and Osteopaths,Chiropractors and Osteopaths,,3,,
  2521-11,Chiropractor,Chiropractor,3842006,1,,
    2521-11-0,Chiropractor,Chiropractor,3842006,1,,
  2521-12,Osteopath,Osteopath,76231001,1,,
    2521-12-0,Osteopath,Osteopath,76231001,1,,
2522,Complementary Health Therapists,Complementary Health Therapists,224609002,2,,
  2522-11,Acupuncturist,Acupuncturist,,5,Has previously been submitted for inclusion to  SNOMED-CT-AU,
    2522-11-0,Acupuncturist,Acupuncturist,,5,Has previously been submitted for inclusion to  SNOMED-CT-AU,
  2522-12,Homoeopath,Homoeopath,,5,sugest child of 224609002 |Complementary health worker (occupation)|,y
    2522-12-0,Homoeopath,Homoeopath,,5,sugest child of 224609002 |Complementary health worker (occupation)|,y
  2522-13,Naturopath,Naturopath,,5,sugest child of 224609002 |Complementary health worker (occupation)|,y
    2522-13-0,Naturopath,Naturopath,,5,sugest child of 224609002 |Complementary health worker (occupation)|,y
  2522-14,Traditional Chinese Medicine Practitioner,Traditional Chinese Medicine Practitioner,,5,sugest child of 224609002 |Complementary health worker (occupation)|,y
    2522-14-1,Chinese Herbalist,Chinese Herbalist,,5,sugest child of 224609002 |Complementary health worker (occupation)|,y
    2522-14.2,Chinese Medicine Practitioner,Chinese Medicine Practitioner,,5,sugest child of 224609002 |Complementary health worker (occupation)|,y
  2522-99,Complementary Health Therapists nec,Complementary Health Therapists nec,224609002,2,,
    2522-99-0,Complementary Health Therapists nec,Complementary Health Therapists nec,224609002,2,,
    2522-99-1,Dance Therapist,Dance Therapist,309411005,1,,
    2522-99-3,Hypnotherapist,Hypnotherapist,444912007 ,1,,
    2522-99-4,Music Therapist,Music Therapist,309412003,1,,
    2522-99.5,Herbalist (Other than Chinese),Herbalist (Other than Chinese),,5,sugest child of 224609002 |Complementary health worker (occupation)|,y
  2522.16,Myotherapist,Myotherapist,,5,sugest child of 224609002 |Complementary health worker (occupation)|,y
    2522.16.0,Myotherapist,Myotherapist,,5,sugest child of 224609002 |Complementary health worker (occupation)|,y
2523,Dental Practitioners,Dental Practitioners,106289002 ,2,,
  2523-11,Dental Specialist,Dental Specialist,158978000 ,2,,
    2523-11-1,Endodontist,Endodontist,50149000,1,,
    2523-11-2,Oral and Maxillofacial Surgeon,Oral and Maxillofacial Surgeon,49993003 ,2,,
    2523-11-3,Oral Pathologist,Oral Pathologist,66476003,1,,
